ros_time,scene,prefill_tokens,generated_tokens,duration_sec,cam_stamp,cot
1785295782.940716524,other,828,11,2.386,1545235952.935,"Keep lane since the lane is clear ahead"
1785295787.446021819,intersection,828,11,1.891,1545235953.934,"Stop for the stop sign across the intersection"
1785295797.832250388,other,828,61,7.277,1545235954.933,"Change lane to the left due to a slow/stopped box truck blocking the right side of our lane; after projecting, move left"
1785295802.755083188,intersection,828,14,2.201,1545235956.931,"Turn right at the intersection since there is no cross traffic"
1785295811.520751239,unknown,828,49,5.966,1545235957.930,""
1785295817.757324255,urban,828,14,2.202,1545235959.928,"Keep distance to the pedestrian since unexpected pedestrian movement occurs ahead"
1785295822.967928945,urban,828,16,2.413,1545235960.927,"Keep distance to the pedestrian since they are walking ahead in our lane"
1785295827.970090423,urban,828,16,2.415,1545235961.926,"Yield due to a pedestrian blocking the lane ahead requiring speed reduction"
1785295832.755443500,urban,828,14,2.201,1545235962.926,"Yield due to a pedestrian walking ahead in our lane"
1785295837.434221287,other,828,11,1.879,1545235963.925,"Keep lane because the lane is clear ahead"
1785295843.071765516,other,828,17,2.517,1545235964.923,"Keep distance to the lead vehicle since it is directly ahead in our lane"
1785295848.077080118,other,828,17,2.522,1545235965.923,"Stop for the stop sign since it requires a full stop before proceeding ahead"
1785295852.324513649,other,828,10,1.770,1545235966.922,"Slow down for the speed bump ahead"
1785295857.430318532,other,828,11,1.876,1545235967.921,"Keep lane since the lane is clear ahead"
1785295862.424150300,other,828,11,1.869,1545235968.920,"Keep lane since the lane is clear ahead"
1785295867.966444185,other,828,16,2.412,1545235969.919,"Adapt speed for the right curve since the lane bends right ahead"
1785295873.077352369,intersection,828,17,2.523,1545235970.918,"Turn right to navigate around the center island blocking the center of our lane"
1785295878.066859117,other,828,17,2.512,1545235971.917,"Keep distance to the lead vehicle since it is stopped ahead blocking our path"
1785295883.394600956,other,828,20,2.839,1545235972.917,"Yield to the cut-in vehicle from the right since it is entering our lane ahead"
1785295888.068067222,other,828,17,2.513,1545235973.915,"Keep distance to the lead vehicle since it is turning into our path ahead"
1785295892.970186693,other,828,16,2.415,1545235974.915,"Adapt speed for any right curve since the lane bends right ahead"
1785295897.969040115,other,828,16,2.414,1545235975.914,"Keep lane since no lead vehicle or control device is in our path"
1785295902.868007612,intersection,828,15,2.313,1545235976.912,"Turn left to navigate around the parked vehicles blocking the forward path"
1785295907.973671408,intersection,828,16,2.419,1545235977.912,"Turn right to follow the parking aisle since the roadway bends right ahead"
1785295912.977042591,other,828,16,2.422,1545235978.911,"Adapt speed for the right curve since the lane bends right ahead"
1785295921.753556032,unknown,828,51,6.199,1545235979.910,""
1785295928.297848234,other,828,19,2.743,1545235981.908,"Adapt speed for the right curve since the lane bends around a median island ahead"
1785295932.434593939,other,828,11,1.879,1545235982.907,"Keep lane since the path is clear ahead"
1785295938.103906489,intersection,828,17,2.549,1545235983.906,"Turn right to follow the parking lot aisle since the lane bends right ahead"
1785295943.189477386,intersection,828,18,2.635,1545235984.905,"Turn left at the parking lot intersection since the aisle bends left and is clear"
1785295948.089595865,other,828,17,2.534,1545235985.904,"Adapt speed for the right curve since the parking aisle bends right ahead"
1785295953.802705454,unknown,828,24,3.248,1545235986.904,""
1785295957.821889696,intersection,828,15,2.267,1545235987.903,"Turn left to exit the parking aisle since the roadway is clear"
1785295962.287799286,intersection,828,10,1.733,1545235988.901,"Turn left because the aisle is clear"
1785295967.553188470,other,828,12,1.998,1545235989.901,"Keep lane since the parking aisle is clear ahead"
1785295973.081760680,other,828,17,2.527,1545235990.900,"Keep lane since the path is clear ahead with parked cars to the right"
1785295977.966036156,urban,828,16,2.411,1545235991.899,"Keep distance to the pedestrian since they are walking near our path ahead"
1785295983.291017545,other,828,19,2.736,1545235992.998,"Nudge to the left to clear the vehicle with an open door blocking the lane"
1785295987.433861051,other,828,11,1.879,1545235993.997,"Keep lane since the lane is clear ahead"
1785295993.083689260,other,828,17,2.529,1545235994.996,"Keep distance to the lead vehicle since it is directly ahead in our lane"
1785295998.063405852,other,828,17,2.509,1545235995.995,"Keep distance to the stopped lead vehicle ahead since it is blocking our path"
1785296002.927348747,other,828,16,2.372,1545235996.994,"Adapt speed for the right curve since the lane bends right ahead"
1785296010.827983058,intersection,828,43,5.273,1545235997.993,"Decelerate and come to a stop for the stop sign ahead; there is no lead vehicle directly in our path but we must yield t"
1785296018.088616065,other,828,17,2.534,1545235999.991,"Keep distance to the lead vehicle since it is stopped ahead in our lane"
1785296023.402907291,other,828,20,2.848,1545236000.991,"Yield to the cut-in vehicle from the left since it is entering our lane ahead"
1785296031.733117344,urban,828,51,6.178,1545236001.989,"Lane change to the left due to needing to clear pedestrians standing at the corner, then merge onto the travel lane with"
1785296037.319373775,other,828,10,1.764,1545236003.988,"Keep lane since the path is clear"
1785296043.378545915,other,828,20,2.824,1545236004.987,"Nudge right due to a vehicle encroaching from the left side of our lane"
1785296050.241319320,other,828,38,4.687,1545236005.986,"begins turning left and continue acceleration because the safe gap to cross traffic has reached, and the left‑ vacant st"
