idx,start_wall_s,model_start_wall_s,end_wall_s,ros_stamp_s,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,cfg_nav,prompt_kv_seq_len,prompt_kv_tensors,prompt_kv_bytes,prompt_kv_mib,unguided_prompt_kv_seq_len,unguided_prompt_kv_tensors,unguided_prompt_kv_bytes,unguided_prompt_kv_mib,total_kv_bytes,total_kv_mib,model_parameter_bytes,model_parameter_mib,cuda_memory_allocated_start_bytes,cuda_memory_reserved_start_bytes,cuda_memory_allocated_end_bytes,cuda_memory_reserved_end_bytes,cuda_memory_peak_allocated_bytes,cuda_memory_peak_reserved_bytes,cuda_memory_peak_allocated_delta_bytes,cuda_memory_peak_reserved_delta_bytes
0,1788405081.528185,1788405081.709376,1788405085.111717,1552440196.862068,13,16,1,1,0,1591,72,234602496,223.734375,,,0,,234602496,223.734375,22157053040,21130.612411,22190608896,22529703936,22227341824,23049797632,22712373760,23049797632,521764864,520093696
1,1788405085.527982,1788405085.586007,1788405092.062811,1552440197.261778,49,51,1,1,0,1626,72,239763456,228.656250,,,0,,239763456,228.656250,22157053040,21130.612411,22191659008,23049797632,22227079680,23049797632,22713274880,23049797632,521615872,0
2,1788405092.528272,1788405092.574531,1788405095.151978,1552440197.961536,11,14,1,1,0,1589,72,234307584,223.453125,,,0,,234307584,223.453125,22157053040,21130.612411,22191659008,23049797632,22227079680,23049797632,22713274880,23049797632,521615872,0
3,1788405095.527920,1788405095.570418,1788405097.714571,1552440198.261568,7,10,1,1,0,1585,72,233717760,222.890625,,,0,,233717760,222.890625,22157053040,21130.612411,22191659008,23049797632,22227079680,23049797632,22713274880,23049797632,521615872,0
4,1788405098.528009,1788405098.577307,1788405100.756933,1552440198.561742,7,10,1,1,0,1585,72,233717760,222.890625,,,0,,233717760,222.890625,22157053040,21130.612411,22191659008,23049797632,22227079680,23049797632,22713274880,23049797632,521615872,0
5,1788405101.527752,1788405101.584714,1788405103.648743,1552440198.861960,6,9,1,1,0,1584,72,233570304,222.750000,,,0,,233570304,222.750000,22157053040,21130.612411,22191659008,23049797632,22227079680,23049797632,22713274880,23049797632,521615872,0
6,1788405104.527964,1788405104.574187,1788405106.966569,1552440199.162145,9,12,1,1,0,1587,72,234012672,223.171875,,,0,,234012672,223.171875,22157053040,21130.612411,22191659008,23049797632,22227079680,23049797632,22713274880,23049797632,521615872,0
7,1788405107.528284,1788405107.573928,1788405110.052712,1552440199.462292,10,13,1,1,0,1588,72,234160128,223.312500,,,0,,234160128,223.312500,22157053040,21130.612411,22191659008,23049797632,22227079680,23049797632,22713274880,23049797632,521615872,0
8,1788405110.528542,1788405110.578790,1788405112.614453,1552440199.762434,6,9,1,1,0,1584,72,233570304,222.750000,,,0,,233570304,222.750000,22157053040,21130.612411,22191659008,23049797632,22227079680,23049797632,22713274880,23049797632,521615872,0
9,1788405113.528740,1788405113.587141,1788405115.626602,1552440200.062459,6,9,1,1,0,1584,72,233570304,222.750000,,,0,,233570304,222.750000,22157053040,21130.612411,22191659008,23049797632,22227079680,23049797632,22713274880,23049797632,521615872,0
