idx,start_wall_s,model_start_wall_s,end_wall_s,ros_stamp_s,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,cfg_nav,prompt_kv_seq_len,prompt_kv_tensors,prompt_kv_bytes,prompt_kv_mib,unguided_prompt_kv_seq_len,unguided_prompt_kv_tensors,unguided_prompt_kv_bytes,unguided_prompt_kv_mib,total_kv_bytes,total_kv_mib,model_parameter_bytes,model_parameter_mib,cuda_memory_allocated_start_bytes,cuda_memory_reserved_start_bytes,cuda_memory_allocated_end_bytes,cuda_memory_reserved_end_bytes,cuda_memory_peak_allocated_bytes,cuda_memory_peak_reserved_bytes,cuda_memory_peak_allocated_delta_bytes,cuda_memory_peak_reserved_delta_bytes
0,1788405345.068446,1788405345.275766,1788405349.323301,1552440196.862068,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22204156416,22598909952,22276565504,23712497664,23226484736,23712497664,1022328320,1113587712
1,1788405350.068556,1788405350.155850,1788405354.042523,1552440197.361693,11,14,1,1,0,3086,72,455049216,433.968750,,,0,,455049216,433.968750,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
2,1788405354.068021,1788405354.135277,1788405357.739996,1552440197.761529,7,10,1,1,0,3082,72,454459392,433.406250,,,0,,454459392,433.406250,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
3,1788405358.068166,1788405358.112629,1788405361.910854,1552440198.161543,9,12,1,1,0,3084,72,454754304,433.687500,,,0,,454754304,433.687500,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
4,1788405362.068536,1788405362.129691,1788405365.391858,1552440198.561742,7,10,1,1,0,3082,72,454459392,433.406250,,,0,,454459392,433.406250,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
5,1788405366.068315,1788405366.121559,1788405369.284738,1552440198.962023,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
6,1788405370.068514,1788405370.116981,1788405373.324115,1552440199.362275,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
7,1788405374.068493,1788405374.113208,1788405377.174749,1552440199.762434,9,12,1,1,0,3084,72,454754304,433.687500,,,0,,454754304,433.687500,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
8,1788405378.068674,1788405378.117920,1788405381.406676,1552440200.162477,12,15,1,1,0,3087,72,455196672,434.109375,,,0,,455196672,434.109375,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
9,1788405382.068637,1788405382.133115,1788405385.423943,1552440200.562515,12,15,1,1,0,3087,72,455196672,434.109375,,,0,,455196672,434.109375,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
10,1788405386.068571,1788405386.131005,1788405389.043724,1552440200.962606,7,10,1,1,0,3082,72,454459392,433.406250,,,0,,454459392,433.406250,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
11,1788405389.068369,1788405389.114673,1788405392.003438,1552440201.262585,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
12,1788405392.068040,1788405392.131301,1788405395.016385,1552440201.562537,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
13,1788405395.068094,1788405395.117036,1788405398.011193,1552440201.862530,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
14,1788405398.068067,1788405398.121613,1788405400.728136,1552440202.162491,5,8,1,1,0,3080,72,454164480,433.125000,,,0,,454164480,433.125000,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
15,1788405401.067936,1788405401.125854,1788405404.101982,1552440202.462481,7,10,1,1,0,3082,72,454459392,433.406250,,,0,,454459392,433.406250,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
16,1788405405.068581,1788405405.168110,1788405408.054807,1552440202.862531,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
17,1788405408.068464,1788405408.119218,1788405410.858000,1552440203.162558,7,10,1,1,0,3082,72,454459392,433.406250,,,0,,454459392,433.406250,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
18,1788405411.068514,1788405411.118711,1788405413.801233,1552440203.462559,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
19,1788405414.067991,1788405414.127074,1788405416.807108,1552440203.762549,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
20,1788405417.068106,1788405417.127597,1788405419.778807,1552440204.062537,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
21,1788405420.068184,1788405420.121660,1788405422.800471,1552440204.362522,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
22,1788405423.068033,1788405423.123924,1788405425.802774,1552440204.662544,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
23,1788405426.068387,1788405426.115057,1788405428.795663,1552440204.962566,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
24,1788405429.067840,1788405429.149821,1788405431.817047,1552440205.262596,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
25,1788405432.068820,1788405432.116709,1788405434.795061,1552440205.562555,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
26,1788405435.068331,1788405435.130800,1788405437.813264,1552440205.862467,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
27,1788405438.068571,1788405438.155923,1788405441.124179,1552440206.162334,10,13,1,1,0,3085,72,454901760,433.828125,,,0,,454901760,433.828125,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
28,1788405442.068542,1788405442.113304,1788405445.187473,1552440206.562295,11,14,1,1,0,3086,72,455049216,433.968750,,,0,,455049216,433.968750,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
29,1788405446.067896,1788405446.121247,1788405448.802612,1552440206.962395,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
30,1788405449.068088,1788405449.129529,1788405451.871716,1552440207.262465,7,10,1,1,0,3082,72,454459392,433.406250,,,0,,454459392,433.406250,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
31,1788405452.068601,1788405452.154249,1788405455.156588,1552440207.562568,10,13,1,1,0,3085,72,454901760,433.828125,,,0,,454901760,433.828125,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
32,1788405456.068562,1788405456.142733,1788405458.914604,1552440207.962624,7,10,1,1,0,3082,72,454459392,433.406250,,,0,,454459392,433.406250,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
33,1788405459.068630,1788405459.133315,1788405462.132790,1552440208.262636,10,13,1,1,0,3085,72,454901760,433.828125,,,0,,454901760,433.828125,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
